Rank,Team,Age,W,L,Arena,Attend.,Attend./G
1,Milwaukee Bucks*,29.2,56,17,Fiserv Forum,549036,17711
2,Boston Celtics*,25.3,48,24,TD Garden,610864,19090
3,Los Angeles Clippers*,27.4,49,23,STAPLES Center,610176,19068
4,Toronto Raptors*,26.6,53,19,Scotiabank Arena,633456,19796
5,Los Angeles Lakers*,29.5,52,19,STAPLES Center,588907,18997
6,Dallas Mavericks*,26.1,43,32,American Airlines Center,682096,20062
7,Miami Heat*,25.9,44,29,AmericanAirlines Arena,629771,19680
8,Houston Rockets*,29.2,44,28,Toyota Center,578458,18077
9,Utah Jazz*,27.3,44,28,Vivint Smart Home Arena,567486,18306
10,Philadelphia 76ers*,26.3,43,30,Wells Fargo Center,639491,20629
11,Denver Nuggets*,25.6,46,27,Pepsi Center,633153,19186
12,Indiana Pacers*,25.6,45,28,Bankers Life Fieldhouse,529002,16531
13,Oklahoma City Thunder*,25.5,44,28,Chesapeake Energy Arena,600699,18203
14,Phoenix Suns,24.6,34,39,Talking Stick Resort Arena,550633,15606
15,Brooklyn Nets*,26.3,35,37,Barclays Center,524907,16403
16,Orlando Magic*,26.1,33,40,Amway Center,529870,17093
17,San Antonio Spurs,27.6,32,39,AT&T Center,550515,18351
18,Memphis Grizzlies,24.1,34,39,FedEx Forum,523297,15857
19,Portland Trail Blazers*,27.5,35,39,Moda Center,628303,19634
20,New Orleans Pelicans,25.4,30,42,Smoothie King Center,528172,16505
21,Sacramento Kings,27,31,41,Golden 1 Center,520663,16796
22,Chicago Bulls,24.4,22,43,United Center,639352,18804
23,Detroit Pistons,25.9,20,46,Little Caesars Arena,509469,15294
24,Minnesota Timberwolves,24.8,19,45,Target Center,482112,15066
25,Washington Wizards,25.1,25,47,Capital One Arena,532702,16647
26,New York Knicks,24.5,21,45,Madison Square Garden (IV),620789,18812
27,Charlotte Hornets,24.3,23,42,Spectrum Center,478591,15428
28,Atlanta Hawks,24.1,20,47,State Farm Arena,545453,16043
29,Cleveland Cavaliers,25,19,46,Quicken Loans Arena,643008,17861
30,Golden State Warriors,24.4,15,50,Chase Center,614176,18064
=,League Average,26.2,,,,575820,17788
